target_node,time,idw_temperature_2m,idw_relative_humidity_2m,idw_soil_moisture_0_to_7cm,idw_shortwave_radiation,idw_surface_pressure,nearest_avg_distance_km,actual_temperature_2m,actual_relative_humidity_2m,actual_soil_moisture_0_to_7cm,actual_shortwave_radiation,actual_surface_pressure,hour,hour_sin,hour_cos,day_of_year,doy_sin,doy_cos,target_elevation_m,idw_elev_temperature_2m,target_elevation_m
node_4_1,2026-08-01 00:00:00,22.04997178392363,90.75484538194888,0.4144349114290065,0.0,875.0825497233353,78.4291923229902,26.7,79,0.399,0.0,933.7,0,0.0,1.0,213,-0.5012418134457756,-0.8653072543632061,235.0,22.36461986459801,235.0
node_4_1,2026-08-01 01:00:00,21.788565145032933,91.40047193751168,0.4147577247067879,0.0,874.9179870677791,78.4291923229902,26.3,81,0.398,0.0,933.7,1,0.2588190451025207,0.9659258262890684,213,-0.5012418134457756,-0.8653072543632061,235.0,22.103213225707307,235.0
node_4_1,2026-08-01 02:00:00,21.44556954192418,91.97051590642418,0.4151498894445503,0.0,874.6142079384466,78.4291923229902,25.8,85,0.397,0.0,933.5,2,0.4999999999999999,0.8660254037844387,213,-0.5012418134457756,-0.8653072543632061,235.0,21.760217622598557,235.0
node_4_1,2026-08-01 03:00:00,21.39550029103102,91.32488935086138,0.4153655599690256,0.0,874.5427101368922,78.4291923229902,24.8,90,0.397,0.0,933.5,3,0.7071067811865475,0.7071067811865476,213,-0.5012418134457756,-0.8653072543632061,235.0,21.7101483717054,235.0
node_4_1,2026-08-01 04:00:00,20.820084858357824,94.0790436775934,0.4229289682779598,0.0,874.6149695528998,78.4291923229902,24.2,93,0.4,0.0,933.0,4,0.8660254037844386,0.5000000000000001,213,-0.5012418134457756,-0.8653072543632061,235.0,21.134732939032197,235.0
node_4_1,2026-08-01 05:00:00,21.004027771457302,95.78917558433092,0.4098166899865101,0.0,874.3713508371242,78.4291923229902,23.7,97,0.429,0.0,932.8,5,0.9659258262890684,0.2588190451025207,213,-0.5012418134457756,-0.8653072543632061,235.0,21.31867585213168,235.0
node_4_1,2026-08-01 06:00:00,21.22545632211852,95.64424153769968,0.4137171633777365,23.529482639861094,874.5712123353378,78.4291923229902,23.9,97,0.427,14.0,932.5,6,1.0,6.123233995736766e-17,213,-0.5012418134457756,-0.8653072543632061,235.0,21.540104402792895,235.0
node_4_1,2026-08-01 07:00:00,22.431629853663363,92.47259343321888,0.4171609666800259,149.26384509062976,875.5285628413235,78.4291923229902,24.8,96,0.431,148.0,933.6,7,0.9659258262890684,-0.2588190451025206,213,-0.5012418134457756,-0.8653072543632061,235.0,22.74627793433774,235.0
node_4_1,2026-08-01 08:00:00,23.623794591425707,86.41085811777042,0.4183828683311705,278.84410382186485,876.2676408133133,78.4291923229902,26.8,89,0.424,279.0,933.9,8,0.8660254037844387,-0.4999999999999998,213,-0.5012418134457756,-0.8653072543632061,235.0,23.938442672100084,235.0
node_4_1,2026-08-01 09:00:00,24.734370364970005,79.94449581122092,0.4177056816089519,444.1880910860433,876.5067187853031,78.4291923229902,28.4,75,0.418,506.0,934.0,9,0.7071067811865476,-0.7071067811865475,213,-0.5012418134457756,-0.8653072543632061,235.0,25.049018445644382,235.0
node_4_1,2026-08-01 10:00:00,26.26474190141644,73.140087937825,0.4167750330689329,600.5750614956548,876.50734189797,78.4291923229902,28.2,75,0.415,617.0,934.0,10,0.4999999999999999,-0.8660254037844387,213,-0.5012418134457756,-0.8653072543632061,235.0,26.579389982090817,235.0
node_4_1,2026-08-01 11:00:00,26.917165101191024,66.70390078006815,0.4179123509710316,785.613942562647,876.568748536861,78.4291923229902,28.6,75,0.414,694.0,934.2,11,0.258819045102521,-0.9659258262890682,213,-0.5012418134457756,-0.8653072543632061,235.0,27.231813181865398,235.0
node_4_1,2026-08-01 12:00:00,27.219559503403357,66.9965389090569,0.4166918343377501,801.1617169566366,876.1610517764095,78.4291923229902,29.4,75,0.412,735.0,933.6,12,1.2246467991473532e-16,-1.0,213,-0.5012418134457756,-0.8653072543632061,235.0,27.534207584077734,235.0
node_4_1,2026-08-01 13:00:00,26.714811152309597,72.29263812898874,0.4176980654644194,765.6629320102784,875.3503375010789,78.4291923229902,29.5,74,0.408,732.0,932.9,13,-0.2588190451025208,-0.9659258262890684,213,-0.5012418134457756,-0.8653072543632061,235.0,27.029459232983974,235.0
node_4_1,2026-08-01 14:00:00,25.34702337456605,84.47120841535575,0.4259234282065072,601.6444129556357,874.2758221846452,78.4291923229902,28.7,79,0.406,703.0,932.3,14,-0.4999999999999997,-0.8660254037844388,213,-0.5012418134457756,-0.8653072543632061,235.0,25.661671455240427,235.0
node_4_1,2026-08-01 15:00:00,25.137318774327586,84.09150593093212,0.4301338480888673,490.5827393376241,874.0218353026332,78.4291923229902,29.2,76,0.404,539.0,932.0,15,-0.7071067811865471,-0.7071067811865479,213,-0.5012418134457756,-0.8653072543632061,235.0,25.451966855001963,235.0
node_4_1,2026-08-01 16:00:00,24.705799061002693,86.73090135982557,0.432918177564392,383.4461124907421,873.5611902781958,78.4291923229902,28.2,79,0.403,428.0,931.1,16,-0.8660254037844384,-0.5000000000000004,213,-0.5012418134457756,-0.8653072543632061,235.0,25.020447141677074,235.0
node_4_1,2026-08-01 17:00:00,24.961932284588112,86.07142753306091,0.4125679562661147,242.53253629006576,873.6333111924172,78.4291923229902,28.0,88,0.396,263.0,931.3,17,-0.9659258262890684,-0.2588190451025206,213,-0.5012418134457756,-0.8653072543632061,235.0,25.276580365262493,235.0
node_4_1,2026-08-01 18:00:00,23.50478938591055,90.45874616201704,0.415344669597107,97.1587813178331,873.8225969170865,78.4291923229902,26.8,96,0.395,109.0,931.7,18,-1.0,-1.8369701987210294e-16,213,-0.5012418134457756,-0.8653072543632061,235.0,23.819437466584926,235.0
